 ,"Rape, etc.",Homicide,Assault causing actual bodily harm,Threats,Forgery,Arson,Residential burglaries,Fraud,Robbery,total_offences
Copenhagen,484,3,321,849,330,126,822,4476,364,7775
Frederiksberg,24,1,30,77,19,14,127,439,38,769
Dragør,2,0,3,9,2,4,32,31,1,84
Tårnby,6,0,19,46,100,7,93,137,12,420
Albertslund,14,1,13,32,7,9,82,114,10,282
Ballerup,9,0,29,51,15,24,210,177,13,528
Brøndby,42,1,16,93,13,21,103,132,10,431
Gentofte,14,0,8,56,7,7,453,329,8,882
Gladsaxe,21,0,18,59,8,18,271,183,9,587
Glostrup,3,0,6,17,9,16,84,230,4,369
Herlev,5,1,13,26,2,1,116,138,13,315
Hvidovre,9,0,14,44,15,9,260,226,16,593
Høje-Taastrup,14,0,21,46,18,24,121,333,11,588
Ishøj,8,0,10,41,9,18,29,94,4,213
Lyngby-Taarbæk,17,0,9,54,12,5,265,211,11,584
Rødovre,122,1,10,36,3,8,272,149,10,611
Vallensbæk,4,0,1,13,2,7,54,51,1,133
Allerød,1,0,2,19,0,6,98,49,3,178
Egedal,5,0,5,32,1,7,98,85,2,235
Fredensborg,8,0,15,42,4,5,151,81,3,309
Frederikssund,6,1,7,53,9,10,137,122,5,350
Furesø,8,0,3,37,2,5,154,88,4,301
Gribskov,10,2,13,34,2,7,149,94,3,314
Halsnæs,8,0,5,34,1,4,97,91,3,243
Helsingør,9,1,22,92,8,20,202,153,13,520
Hillerød,17,1,17,71,6,17,167,216,9,521
Hørsholm,5,0,3,35,8,5,215,96,1,368
Rudersdal,8,1,3,43,5,14,358,163,11,606
Bornholm,11,0,10,55,1,6,4,39,3,129
Christiansø,0,0,0,0,0,0,0,0,0,0
Greve,11,0,9,37,10,1,195,112,14,389
Køge,17,1,12,57,4,6,125,195,13,430
Lejre,4,0,0,23,2,1,54,45,2,131
Roskilde,30,0,12,57,15,4,218,265,27,628
Solrød,2,1,3,14,1,1,135,27,1,185
Faxe,8,0,8,23,6,17,71,41,2,176
Guldborgsund,19,0,29,86,9,23,157,112,15,450
Holbæk,22,0,9,72,15,3,143,222,10,496
Kalundborg,12,0,17,41,3,2,92,98,4,269
Lolland,9,0,10,73,20,28,205,81,7,433
Næstved,29,0,17,68,26,13,185,131,14,483
Odsherred,11,0,8,47,3,5,72,64,4,214
Ringsted,15,0,7,26,2,0,104,91,6,251
Slagelse,24,0,20,76,11,49,149,276,7,612
Sorø,7,0,7,28,5,4,80,55,8,194
Stevns,3,0,7,17,0,1,46,37,1,112
Vordingborg,22,2,5,53,1,13,106,127,6,335
Assens,7,0,12,37,1,3,136,92,3,291
Faaborg-Midtfyn,10,0,5,33,5,6,136,71,3,269
Kerteminde,3,0,1,16,1,1,75,39,3,139
Langeland,1,0,2,14,1,3,24,60,0,105
Middelfart,29,0,10,22,3,0,169,112,5,350
Nordfyns,7,0,6,16,2,1,75,32,2,141
Nyborg,10,0,10,30,5,4,94,100,6,259
Odense,52,1,60,188,32,10,752,585,66,1746
Svendborg,14,0,17,47,14,14,133,211,9,459
Ærø,0,0,1,2,2,0,2,4,0,11
Billund,6,0,4,12,9,9,94,26,1,161
Esbjerg,52,1,58,182,16,25,243,321,21,919
Fanø,0,0,1,1,1,0,3,5,0,11
Fredericia,15,0,16,84,17,11,134,179,12,468
Haderslev,19,1,23,63,13,15,188,123,11,456
Kolding,27,1,33,127,10,44,202,347,20,811
Sønderborg,17,0,22,73,10,11,113,130,9,385
Tønder,12,0,12,41,11,4,92,47,9,228
Varde,10,0,7,36,6,4,112,98,7,280
Vejen,12,0,6,30,4,8,100,76,1,237
Vejle,48,1,43,78,12,40,243,391,13,869
Aabenraa,22,0,12,46,67,10,87,121,7,372
Favrskov,3,0,5,20,3,3,131,55,3,223
Hedensted,8,0,12,32,9,8,98,62,2,231
Horsens,14,1,31,83,12,27,273,161,10,612
Norddjurs,8,0,12,21,2,3,72,72,4,194
Odder,5,0,3,8,3,4,40,21,0,84
Randers,21,1,42,66,61,13,327,520,16,1067
Samsø,1,0,0,0,1,0,5,7,1,15
Silkeborg,24,0,16,36,7,11,208,143,10,455
Skanderborg,10,0,6,20,4,11,136,124,3,314
Syddjurs,9,0,9,23,2,0,84,48,4,179
Aarhus,88,6,92,264,65,71,785,1189,121,2681
Herning,17,1,26,78,3,4,313,316,19,777
Holstebro,21,0,19,40,6,9,169,113,9,386
Ikast-Brande,8,0,4,30,5,2,243,65,6,363
Lemvig,3,0,3,9,0,2,11,26,1,55
Ringkøbing-Skjern,12,0,10,10,7,10,136,106,2,293
Skive,9,0,5,30,7,13,115,85,6,270
Struer,6,0,3,19,0,1,74,51,1,155
Viborg,31,0,15,90,10,8,197,303,11,665
Brønderslev,8,1,5,13,5,1,84,230,1,348
Frederikshavn,18,0,9,37,5,5,70,97,7,248
Hjørring,19,0,9,49,3,5,79,144,11,319
Jammerbugt,12,0,8,18,4,4,43,143,2,234
Læsø,0,0,0,2,0,0,0,0,0,2
Mariagerfjord,14,0,7,34,14,5,79,112,1,266
Morsø,4,0,3,11,13,10,38,54,1,134
Rebild,4,0,3,9,2,2,36,29,0,85
Thisted,14,0,7,28,4,3,59,55,4,174
Vesthimmerlands,7,0,6,22,3,5,73,56,2,174
Aalborg,69,3,75,149,66,28,239,475,53,1157
Unknown municipality,39,0,10,343,307,4,19,23313,4,24039
